emp_length,homeownership,annual_income,verified_income,debt_to_income,delinq_2y,months_since_last_delinq,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,current_accounts_delinq,total_collection_amount_ever,num_accounts_30d_past_due,account_never_delinq_percent,public_record_bankrupt,loan_purpose,loan_amount,term,interest_rate,installment,region,amount_per_month,pd_score,data_split,PCA1,PCA2,cluster,risk_level
3.0,mortgage,90000.0,verified,18.01,0.0,38,6.0,28.0,10.0,70795.0,38767.0,0.0,725.0499999999993,0.0,92.9,0.0,moving,28000,60,14.07,652.53,unknown,466.6666666666667,0.8689827318506511,train,1.0131161419378885,-0.29596417556188925,0,Low
10.0,rent,40000.0,not verified,5.04,0.0,25,1.0,30.0,14.0,28800.0,4548.400000000001,0.0,0.0,0.0,100.0,1.0,debt_consolidation,5000,36,12.61,167.54,unknown,138.88888888888889,0.17069354847701013,train,-2.1694365720294644,0.7548344041698665,2,Moderate
3.0,rent,40000.0,source verified,21.15,0.0,28,4.0,31.0,10.0,24193.0,16000.0,0.0,432.0,0.0,93.5,0.0,other,2000,36,17.09,108.50600000000004,unknown,88.88888888888889,0.8076964455175059,train,-2.4091162838232028,1.6933841429860108,2,Moderate
1.0,rent,30000.0,not verified,10.16,0.0,25,0.0,7.0,4.0,25400.0,4997.0,0.0,0.0,0.0,100.0,0.0,debt_consolidation,21600,36,6.72,664.19,unknown,600.0,0.15254746683930392,train,-1.4353704083278178,-3.0735777812153553,2,Moderate
10.0,rent,35000.0,verified,37.220499999999994,0.0,25,7.0,22.0,16.0,69839.0,52722.0,0.0,0.0,0.0,100.0,0.0,credit_card,23000,36,14.07,786.87,unknown,638.8888888888889,0.8229631178455769,test,1.4169101295532252,0.2816621142964119,1,Very High
5.930306000217794,own,34000.0,not verified,6.46,1.0,3,6.0,32.0,12.0,42100.0,4548.400000000001,0.0,0.0,0.0,78.1,0.0,other,5000,36,6.72,153.75,unknown,138.88888888888889,0.051262968100043826,test,-2.0632631368628678,1.4755595635944476,3,High
10.0,mortgage,35000.0,source verified,23.66,0.0,25,1.0,12.0,10.0,291852.0,18916.0,0.0,0.0,0.0,100.0,0.0,credit_card,24000,60,13.59,553.35,unknown,400.0,0.5607846566225173,test,0.13824573904663284,-0.9265432014866737,2,Moderate
10.0,mortgage,110000.0,source verified,16.19,1.0,19,1.0,30.0,15.0,342336.0,60805.0,0.0,0.0,0.0,93.0,0.0,debt_consolidation,20000,60,11.99,444.79,unknown,333.3333333333333,0.5225064036959862,train,1.507032524483974,0.8702560241985384,1,Very High
10.0,mortgage,65000.0,source verified,36.48,1.0,18,3.0,35.0,21.0,283190.0,69561.0,0.0,0.0,0.0,97.1,0.0,home_improvement,20000,36,13.59,679.58,unknown,555.5555555555555,0.4947758314494818,train,2.353756751387128,1.7850113530324379,1,Very High
3.0,rent,30000.0,not verified,18.91,0.0,25,0.0,9.0,6.0,33114.0,17768.0,0.0,0.0,0.0,100.0,0.0,credit_card,6400,36,6.71,196.77,unknown,177.77777777777777,0.4161422659721301,train,-2.969936964404381,-0.543656858932402,2,Moderate
