emp_length,homeownership,annual_income,verified_income,debt_to_income,delinq_2y,months_since_last_delinq,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,current_accounts_delinq,total_collection_amount_ever,num_accounts_30d_past_due,account_never_delinq_percent,public_record_bankrupt,loan_purpose,loan_amount,term,interest_rate,installment,loan_grade_status_default,region,pd_score,data_split,PCA1,PCA2,cluster,risk_level
3.0,mortgage,90000.0,verified,18.01,0.0,38,6.0,28.0,10.0,70795.0,38767.0,0.0,742.7999999999993,0.0,92.9,0.0,moving,28000,60,14.07,652.53,0.0,unknown,0.914649585675919,train,0.9629033066831861,0.789746504613666,3,Very High
10.0,rent,40000.0,not verified,5.04,0.0,25,1.0,30.0,14.0,28800.0,4606.6,0.0,0.0,0.0,100.0,1.0,debt_consolidation,5000,36,12.61,167.54,0.0,unknown,0.12259028984827969,train,-1.7276666817341415,-1.0491208493653954,0,Low
3.0,rent,40000.0,source verified,21.15,0.0,28,4.0,31.0,10.0,24193.0,16000.0,0.0,432.0,0.0,93.5,0.0,other,2000,36,17.09,105.49,1.0,unknown,0.8840111438556417,train,-1.797366994341415,-1.8539418538984977,3,Very High
1.0,rent,30000.0,not verified,10.16,0.0,25,0.0,7.0,4.0,25400.0,4997.0,0.0,0.0,0.0,100.0,0.0,debt_consolidation,21600,36,6.72,664.19,0.0,unknown,0.12331354993192574,train,-2.3125554608221233,1.9189868341618874,0,Low
5.882636248415716,own,34000.0,not verified,6.46,1.0,3,6.0,32.0,12.0,42100.0,4606.6,0.0,0.0,0.0,78.1,0.0,other,5000,36,6.72,153.75,0.0,unknown,0.03537170307140752,test,-1.539130092528041,-1.2176329240787234,1,Moderate
10.0,mortgage,110000.0,source verified,16.19,1.0,19,1.0,30.0,15.0,342336.0,60805.0,0.0,0.0,0.0,93.0,0.0,debt_consolidation,20000,60,11.99,444.79,0.0,unknown,0.40594033345225694,test,1.9410220662523083,0.2136394706348199,1,Moderate
10.0,mortgage,65000.0,source verified,36.48,1.0,18,3.0,35.0,21.0,283190.0,69561.0,0.0,0.0,0.0,97.1,0.0,home_improvement,20000,36,13.59,679.58,0.0,unknown,0.5434115462312886,test,2.488237163547558,-1.7609860978391894,2,High
3.0,rent,30000.0,not verified,18.91,0.0,25,0.0,9.0,6.0,33114.0,17768.0,0.0,0.0,0.0,100.0,0.0,credit_card,6400,36,6.71,196.77,0.0,unknown,0.4622585440199415,train,-2.8710845076148566,-0.2898307727911765,0,Low
10.0,mortgage,75000.0,verified,10.45,0.0,50,4.0,22.0,10.0,39433.0,22895.0,0.0,0.0,0.0,94.1,1.0,debt_consolidation,25000,60,15.04,595.28,0.0,unknown,0.8589508230973366,train,0.220925071646391,1.2877908306994998,3,Very High
2.0,mortgage,91900.0,source verified,1.82,0.0,25,4.0,26.0,10.0,450371.0,55939.0,0.0,0.0,0.0,92.0,0.0,other,40000,60,9.92,848.31,0.0,unknown,0.34770312128892883,train,2.28805244273675,2.6211386202619855,2,High
